DATE,CLOSING PRICE
5/13/2013,3.28
05/10/2013,3.35
05/08/2013,3.5
05/07/2013,3.72
05/06/2013,3.91
05/03/2013,3.78
05/02/2013,3.09
4/30/2013,3.12
4/29/2013,3.32
4/26/2013,3.1
4/25/2013,2.98
4/24/2013,3.02
4/23/2013,3.08
4/22/2013,2.89
4/19/2013,3.1
4/18/2013,3.07
4/17/2013,2.79
4/16/2013,3.14
4/15/2013,4.79
04/12/2013,4.78
04/11/2013,4.37
04/10/2013,4.37
04/09/2013,4.78
04/08/2013,5.22
04/05/2013,5.2
04/04/2013,5.05
04/03/2013,4.93
04/02/2013,5
3/28/2013,4.9
3/27/2013,4.96
3/26/2013,4.66
3/25/2013,4.5
3/22/2013,4.17
3/21/2013,4.43
3/20/2013,4.02
3/19/2013,3.53
3/18/2013,3.57
3/15/2013,3.78
3/14/2013,3.73
3/13/2013,3.56
03/12/2013,3.75
03/11/2013,3.98
03/08/2013,4.27
03/07/2013,4.33
03/06/2013,4.28
03/05/2013,4.27
03/04/2013,4.63
03/01/2013,4.66
2/28/2013,4.92
2/27/2013,4.47
2/26/2013,4.3
2/25/2013,4.59
2/22/2013,5.2
2/21/2013,5.31
2/20/2013,4.98
2/19/2013,4.68
2/18/2013,5.15
2/15/2013,5.2
2/14/2013,5.25
2/13/2013,5.26
02/12/2013,4.61
02/11/2013,4.5
02/08/2013,4.58
02/07/2013,4.21
02/06/2013,4.19
02/05/2013,4.45
02/04/2013,4.37
02/01/2013,4.19
1/31/2013,3.44
1/30/2013,3.81
1/29/2013,3.99
1/28/2013,4.18
1/25/2013,4.12
1/24/2013,4.35
1/23/2013,4.67
1/22/2013,5.45
1/21/2013,4.97
1/18/2013,5.12
1/17/2013,5.61
1/16/2013,5.66
1/15/2013,6.09
1/14/2013,5.9
01/11/2013,5.92
01/10/2013,6.04
01/09/2013,6.22
01/08/2013,6.48
01/07/2013,6.65
01/04/2013,6.36
01/03/2013,6.39
01/02/2013,6.59
12/28/2012,6.72
12/27/2012,7.06
12/21/2012,7.24
12/20/2012,7.34
12/19/2012,7.25
12/18/2012,6.95
12/17/2012,6.46
12/14/2012,6.57
12/13/2012,6.65
12/12/2012,6.75
12/11/2012,6.84
12/10/2012,7.07
12/07/2012,6.79
12/06/2012,6.4
12/05/2012,6.21
12/04/2012,5.73
12/03/2012,5.95
11/30/2012,6.22
11/29/2012,6.59
11/28/2012,6.84
11/27/2012,6.85
11/26/2012,6.84
11/23/2012,7.01
11/22/2012,6.79
11/21/2012,6.79
11/20/2012,6.75
11/19/2012,6.72
11/16/2012,6.93
11/15/2012,7.13
11/14/2012,7.9
11/13/2012,8.42
11/12/2012,9.08
11/09/2012,8.35
11/08/2012,8.28
11/07/2012,8.22
11/06/2012,8.33
11/05/2012,8.26
11/02/2012,8.1
11/01/2012,8.05
10/31/2012,8.23
10/30/2012,8.13
10/29/2012,8.07
10/26/2012,7.88
10/25/2012,7.67
10/24/2012,7.71
10/23/2012,7.88
10/22/2012,7.9
10/19/2012,8
10/18/2012,8.09
10/17/2012,8.29
10/16/2012,8
10/15/2012,7.7
10/12/2012,7.81
10/11/2012,7.79
10/10/2012,7.72
10/09/2012,7.89
10/08/2012,7.93
10/05/2012,7.81
10/04/2012,7.65
10/02/2012,7.87
10/01/2012,7.95
9/28/2012,7.94
9/27/2012,7.84
9/26/2012,7.63
9/25/2012,7.46
9/24/2012,7.27
9/21/2012,7.45
9/20/2012,7.67
9/19/2012,7.56
9/18/2012,7.47
9/17/2012,7.39
9/14/2012,7.47
9/13/2012,7.81
