,accepted_price,segment_demand,segment_hour,year
4,52.02834784735558,25520.0,6909.92,2018
5,55.038962658157324,26760.0,6449.25,2018
6,55.30971959123159,27888.0,5988.58,2018
7,55.614148472827644,28935.0,5527.92,2018
8,56.08234684742857,29865.0,5067.25,2018
9,56.417768130186985,30721.0,4606.58,2018
10,56.417768130186985,31567.0,4146.0,2018
11,56.62293923498837,32315.0,3685.33,2018
12,57.215528129489776,33188.0,3224.67,2018
13,58.06606680875655,34182.0,2764.0,2018
14,58.78307160086561,35505.0,2303.33,2018
15,60.98172005204052,37480.0,1842.67,2018
16,62.844242973682114,39585.0,1382.08,2018
17,64.1590219394442,42206.0,921.42,2018
18,68.31422358813082,45209.0,460.75,2018
19,102.38506252658756,52152.0,0.08,2018
0,43.5637407329927,17568.0,8752.5,2018
1,46.57329745695338,21964.0,8291.83,2018
2,49.536138456856044,23127.0,7831.17,2018
3,50.441540013076846,24327.0,7370.5,2018
4,50.468165507587855,25520.0,6909.92,2018
5,51.95929626133914,26760.0,6449.25,2018
6,53.70395491675725,27888.0,5988.58,2018
7,53.82335984391898,28935.0,5527.92,2018
8,54.554300546589005,29865.0,5067.25,2018
9,55.551765926378806,30721.0,4606.58,2018
10,55.81641778503282,31567.0,4146.0,2018
11,55.81641778503282,32315.0,3685.33,2018
12,56.15719331346501,33188.0,3224.67,2018
13,56.60060478616689,34182.0,2764.0,2018
14,57.77566423497714,35505.0,2303.33,2018
15,58.8111531040981,37480.0,1842.67,2018
16,61.47223360761913,39585.0,1382.08,2018
17,63.7673557169293,42206.0,921.42,2018
18,68.69625537549501,45209.0,460.75,2018
19,91.13597806437585,52152.0,0.08,2018
0,39.45787683258667,17568.0,8752.5,2018
1,50.50490037245172,21964.0,8291.83,2018
2,51.33231689552649,23127.0,7831.17,2018
3,52.34639236908099,24327.0,7370.5,2018
4,53.77211634418848,25520.0,6909.92,2018
5,54.01802442612773,26760.0,6449.25,2018
6,54.414933070342904,27888.0,5988.58,2018
7,55.02942933943145,28935.0,5527.92,2018
8,55.30284727680934,29865.0,5067.25,2018
9,57.162098232508505,30721.0,4606.58,2018
10,57.17958863938522,31567.0,4146.0,2018
11,58.01672391146962,32315.0,3685.33,2018
12,58.16656499914974,33188.0,3224.67,2018
13,58.340185211143094,34182.0,2764.0,2018
14,58.66863822286463,35505.0,2303.33,2018
15,60.46187145085137,37480.0,1842.67,2018
16,64.2373812965502,39585.0,1382.08,2018
17,68.16624512068739,42206.0,921.42,2018
18,72.52200504854493,45209.0,460.75,2018
19,87.01458831961006,52152.0,0.08,2018
0,44.20878726230074,17568.0,8752.5,2018
1,49.72868625513429,21964.0,8291.83,2018
2,51.160760103169736,23127.0,7831.17,2018
3,51.725972596709404,24327.0,7370.5,2018
4,51.99225251014303,25520.0,6909.92,2018
5,51.99225251014303,26760.0,6449.25,2018
6,53.22265860167529,27888.0,5988.58,2018
7,53.73748768229131,28935.0,5527.92,2018
8,54.91797899582991,29865.0,5067.25,2018
9,55.33335778992416,30721.0,4606.58,2018
10,55.648381542020516,31567.0,4146.0,2018
11,55.827336257831774,32315.0,3685.33,2018
12,56.18820109917231,33188.0,3224.67,2018
13,56.36028725443761,34182.0,2764.0,2018
14,57.35724804061389,35505.0,2303.33,2018
15,59.77102187411395,37480.0,1842.67,2018
16,60.50552112871297,39585.0,1382.08,2018
17,61.22015588807233,42206.0,921.42,2018
18,66.65722267958323,45209.0,460.75,2018
19,297.0207173383605,52152.0,0.08,2018
0,41.63129791423413,17568.0,8752.5,2018
1,49.91831753000789,21964.0,8291.83,2018
2,50.11959767000899,23127.0,7831.17,2018
3,50.990998342934574,24327.0,7370.5,2018
4,51.97912391202272,25520.0,6909.92,2018
5,51.98423635116675,26760.0,6449.25,2018
6,56.0858405898681,27888.0,5988.58,2018
7,57.61805784476814,28935.0,5527.92,2018
8,57.9350289755706,29865.0,5067.25,2018
9,58.10538510188534,30721.0,4606.58,2018
10,58.265116384642816,31567.0,4146.0,2018
11,58.72624430065941,32315.0,3685.33,2018
12,59.51221282391534,33188.0,3224.67,2018
13,59.73422153795068,34182.0,2764.0,2018
14,62.25307214412897,35505.0,2303.33,2018
15,65.44439243472728,37480.0,1842.67,2018
16,70.26597516786649,39585.0,1382.08,2018
17,73.77998931380252,42206.0,921.42,2018
18,76.37310200117183,45209.0,460.75,2018
19,88.95056279428924,52152.0,0.08,2018
0,44.51354610996452,17568.0,8752.5,2018
1,48.53213863485525,21964.0,8291.83,2018
2,49.022361938980936,23127.0,7831.17,2018
3,49.809745755836126,24327.0,7370.5,2018
4,49.82199293067754,25520.0,6909.92,2018
5,50.1613508976731,26760.0,6449.25,2018
6,54.05464279301226,27888.0,5988.58,2018
7,54.67951354730038,28935.0,5527.92,2018
8,55.721323261635575,29865.0,5067.25,2018
9,55.721323261635575,30721.0,4606.58,2018
10,57.1300278000744,31567.0,4146.0,2018
11,57.598361658361775,32315.0,3685.33,2018
12,57.95520742249168,33188.0,3224.67,2018
13,59.122779701276926,34182.0,2764.0,2018
